value,year,p_id,parent,id,name
,,5Z78190499,WIL**********D,,
100,2016,5Z78190499,WIL**********D,9H09202312,WIL**********.
100,2016,5Z78190499,WIL**********D,B06522194,COR**********S
100,2016,5Z78190499,WIL**********D,0G91202516,WIL**********.
100,2016,5Z78190499,WIL**********D,0R72190097,WIL**********D
100,2016,5Z78190499,WIL**********D,0R78201316,WIL**********.
100,2016,5Z78190499,WIL**********D,1E04201305,WIL**********.
50,2016,5Z78190499,WIL**********D,1H45202107,NAU**********.
100,2016,5Z78190499,WIL**********D,1M34201205,GAD**********.
100,2016,5Z78190499,WIL**********D,1N34201907,WIL**********.
100,2016,5Z78190499,WIL**********D,2D09190697,WIL**********D
100,2016,5Z78190499,WIL**********D,2M78190596,LAR**********D
100,2016,5Z78190499,WIL**********D,2N90202510,WCA**********.
100,2016,5Z78190499,WIL**********D,3H54201605,WIL**********.
100,2016,5Z78190499,WIL**********D,3W02190288,WIL**********D
80,2016,5Z78190499,WIL**********D,3Z53202107,WIL**********.
50,2016,5Z78190499,WIL**********D,4E29200101,JOS**********D
100,2016,5Z78190499,WIL**********D,4H33202112,WIL**********.
50,2016,5Z78190499,WIL**********D,4K52201009,ADA**********.
100,2016,5Z78190499,WIL**********D,5C36201508,WRE**********.
100,2016,5Z78190499,WIL**********D,5D13201707,WIL**********.
50,2016,5Z78190499,WIL**********D,5D70201814,FPW**********.
100,2016,5Z78190499,WIL**********D,5N72200206,NEW**********.
50,2016,5Z78190499,WIL**********D,6D48201208,OLA**********.
100,2016,5Z78190499,WIL**********D,6H21203112,WIL**********.
100,2016,5Z78190499,WIL**********D,6R60201204,LEN**********.
50,2016,5Z78190499,WIL**********D,7D81200606,ALF**********.
100,2016,5Z78190499,WIL**********D,7K43201309,WIL**********.
100,2016,5Z78190499,WIL**********D,7K98200812,DOL**********.
100,2016,5Z78190499,WIL**********D,8C26190184,KOG**********D
100,2016,5Z78190499,WIL**********D,8G66201000,ACA**********D
100,2016,5Z78190499,WIL**********D,9E28202107,WII**********.
0,2016,5Z78190499,WIL**********D,5Z78190499,WIL**********D
50,2016,0G91202516,WIL**********.,4G46202916,WIL**********.
100,2016,5N72200206,NEW**********.,1M72200605,MAX**********.
100,2016,5N72200206,NEW**********.,1N75200505,ACE**********.
100,2016,5N72200206,NEW**********.,2C80200905,ROS**********.
100,2016,5N72200206,NEW**********.,2G65201005,CAS**********.
100,2016,5N72200206,NEW**********.,2H19200505,RIC**********.
100,2016,5N72200206,NEW**********.,5C62201005,AMP**********.
100,2016,5N72200206,NEW**********.,5Z64200805,STE**********.
100,2016,5N72200206,NEW**********.,6E79200905,MAX**********.
100,2016,5N72200206,NEW**********.,7N93201705,IVO**********.
100,2016,5N72200206,NEW**********.,8G79200905,QUA**********.
50,2016,8C26190184,KOG**********D,9R81201012,WIL**********.
10,2016,4E29200101,JOS**********D,0R00202615,SKY**********.
100,2016,5C36201508,WRE**********.,5R42200707,WIL**********.
50,2016,3Z53202107,WIL**********.,2C73200904,DEL**********.
45,2016,2D09190697,WIL**********D,0R00202615,SKY**********.
100,2016,2D09190697,WIL**********D,8K84203116,WIL**********.
60,2016,2D09190697,WIL**********D,9N73200614,AMA**********.
49,2016,2N90202510,WCA**********.,7Z23201811,GLO**********.
80,2016,4H33202112,WIL**********.,4G23200513,WIL**********.
100,2016,4K52201009,ADA**********.,2D18190893,LEV**********D
50,2016,8C26190184,KOG**********D,0D49201310,WIL**********.
100,2016,8C26190184,KOG**********D,0Z11190996,KUO**********D
